Timeinterval Start Loc;Timeinterval End Loc;Isp;Quantity Measurement Unit Name;Afrr Down;Afrr Up;Incident Reserve Down;Incident Reserve Up;Absolute Total Volume;Total Volume
04/01/2024 03:15;04/01/2024 03:30;14;kWh;-16473;0;0;0;16473;-16473
04/01/2024 03:30;04/01/2024 03:45;15;kWh;-8058;0;0;0;8058;-8058
04/01/2024 03:45;04/01/2024 04:00;16;kWh;0;0;0;0;0;0
04/01/2024 04:00;04/01/2024 04:15;17;kWh;0;0;0;0;0;0
04/01/2024 04:15;04/01/2024 04:30;18;kWh;0;0;0;0;0;0
04/01/2024 04:30;04/01/2024 04:45;19;kWh;-789;0;0;0;789;-789
04/01/2024 04:45;04/01/2024 05:00;20;kWh;0;0;0;0;0;0
04/01/2024 05:00;04/01/2024 05:15;21;kWh;0;7687;0;0;7687;7687
04/01/2024 05:15;04/01/2024 05:30;22;kWh;0;1493;0;0;1493;1493
04/01/2024 05:30;04/01/2024 05:45;23;kWh;0;13108;0;0;13108;13108
04/01/2024 05:45;04/01/2024 06:00;24;kWh;0;34502;0;0;34502;34502
